symboling,make,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation
3,alfa-romero giulia,gas,std,two,convertible,rwd,
3,alfa-romero stelvio,gas,std,two,convertible,rwd,
1,alfa-romero Quadrifoglio,gas,std,two,hatchback,rwd,
2,audi 100 ls,gas,std,four,sedan,fwd,
2,audi 100ls,gas,std,four,sedan,4wd,
2,audi fox,gas,std,two,sedan,fwd,
1,audi 100ls,gas,std,four,sedan,fwd,
1,audi 5000,gas,std,four,wagon,fwd,
1,audi 4000,gas,turbo,four,sedan,fwd,
0,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,
2,bmw 320i,gas,std,two,sedan,rwd,
0,bmw 320i,gas,std,four,sedan,rwd,
0,bmw x1,gas,std,two,sedan,rwd,
0,bmw x3,gas,std,four,sedan,rwd,
1,bmw z4,gas,std,four,sedan,rwd,
0,bmw x4,gas,std,four,sedan,rwd,
0,bmw x5,gas,std,two,sedan,rwd,
0,bmw x3,gas,std,four,sedan,rwd,
2,chevrolet impala,gas,std,two,hatchback,fwd,
1,chevrolet monte carlo,gas,std,two,hatchback,fwd,
0,chevrolet vega 2300,gas,std,four,sedan,fwd,
1,dodge rampage,gas,std,two,hatchback,fwd,
1,dodge challenger se,gas,std,two,hatchback,fwd,
1,dodge d200,gas,turbo,two,hatchback,fwd,
1,dodge monaco (sw),gas,std,four,hatchback,fwd,
1,dodge colt hardtop,gas,std,four,sedan,fwd,
1,dodge colt (sw),gas,std,four,sedan,fwd,
1,dodge coronet custom,gas,turbo,two,sedan,fwd,
-1,dodge dart custom,gas,std,four,wagon,fwd,
3,dodge coronet custom (sw),gas,turbo,two,hatchback,fwd,
2,honda civic,gas,std,two,hatchback,fwd,
2,honda civic cvcc,gas,std,two,hatchback,fwd,
1,honda civic,gas,std,two,hatchback,fwd,
1,honda accord cvcc,gas,std,two,hatchback,fwd,
1,honda civic cvcc,gas,std,two,hatchback,fwd,
0,honda accord lx,gas,std,four,sedan,fwd,
0,honda civic 1500 gl,gas,std,four,wagon,fwd,
0,honda accord,gas,std,two,hatchback,fwd,
0,honda civic 1300,gas,std,two,hatchback,fwd,
0,honda prelude,gas,std,four,sedan,fwd,
0,honda accord,gas,std,four,sedan,fwd,
0,honda civic,gas,std,four,sedan,fwd,
1,honda civic (auto),gas,std,two,sedan,fwd,
0,isuzu MU-X,gas,std,four,sedan,rwd,
1,isuzu D-Max,gas,std,two,sedan,fwd,
0,isuzu D-Max V-Cross,gas,std,four,sedan,fwd,
2,isuzu D-Max,gas,std,two,hatchback,rwd,
0,jaguar xj,gas,std,four,sedan,rwd,
0,jaguar xf,gas,std,four,sedan,rwd,
0,jaguar xk,gas,std,two,sedan,rwd,
1,maxda rx3,gas,std,two,hatchback,fwd,
1,maxda glc deluxe,gas,std,two,hatchback,fwd,
1,mazda rx2 coupe,gas,std,two,hatchback,fwd,
1,mazda rx-4,gas,std,four,sedan,fwd,
1,mazda glc deluxe,gas,std,four,sedan,fwd,
3,mazda 626,gas,std,two,hatchback,rwd,
3,mazda glc,gas,std,two,hatchback,rwd,
3,mazda rx-7 gs,gas,std,two,hatchback,rwd,
3,mazda glc 4,gas,std,two,hatchback,rwd,
1,mazda 626,gas,std,two,hatchback,fwd,
0,mazda glc custom l,gas,std,four,sedan,fwd,
1,mazda glc custom,gas,std,two,hatchback,fwd,
0,mazda rx-4,gas,std,four,sedan,fwd,
0,mazda glc deluxe,diesel,std,four,sedan,fwd,
0,mazda 626,gas,std,four,hatchback,fwd,
0,mazda glc,gas,std,four,sedan,rwd,
